fy,total_cases,ciaa_published,coverage_pct,ngm_only,ngm_annual_report,annual_report_only,sheets,has_ngm,has_ar,has_ss,sources_summary
2063/64,2,115,1.7,2,0,0,0,Y,N,N,NGM:2 AR:0 SS:0
2064/65,2,65,3.1,2,0,0,0,Y,N,N,NGM:2 AR:0 SS:0
2065/66,4,50,8.0,4,0,0,0,Y,N,N,NGM:4 AR:0 SS:0
2066/67,2,27,7.4,2,0,0,0,Y,N,N,NGM:2 AR:0 SS:0
2067/68,17,67,25.4,17,0,0,0,Y,N,N,NGM:17 AR:0 SS:0
2068/69,107,111,96.4,107,0,0,0,Y,N,N,NGM:107 AR:0 SS:0
2069/70,113,93,121.5,113,0,0,0,Y,N,N,NGM:113 AR:0 SS:0
2070/71,167,168,99.4,167,0,0,0,Y,N,N,NGM:167 AR:0 SS:0
2071/72,300,141,212.8,295,5,0,0,Y,Y,N,NGM:295 AR:5 SS:0
2072/73,139,-,-,125,14,0,0,Y,Y,N,NGM:125 AR:14 SS:0
2073/74,168,154,109.1,128,37,3,0,Y,Y,N,NGM:128 AR:40 SS:0
2074/75,199,192,103.6,145,53,1,0,Y,Y,N,NGM:145 AR:54 SS:0
2075/76,364,916,39.7,299,64,1,0,Y,Y,N,NGM:299 AR:65 SS:0
2076/77,444,990,44.8,409,35,0,0,Y,Y,N,NGM:409 AR:35 SS:0
2077/78,126,114,110.5,126,0,0,0,Y,N,N,NGM:126 AR:0 SS:0
2078/79,135,131,103.1,134,0,1,0,Y,Y,N,NGM:134 AR:1 SS:0
2079/80,171,162,105.6,169,1,1,0,Y,Y,N,NGM:169 AR:2 SS:0
2080/81,215,137,156.9,14,138,0,63,Y,Y,Y,NGM:14 AR:138 SS:63
2081/82,142,137,103.6,7,132,0,3,Y,Y,Y,NGM:7 AR:132 SS:3
2082/83,83,-,-,83,0,0,0,Y,N,N,NGM:83 AR:0 SS:0
